YEAR,MES,DIA,caudal_minimo
1968,SEP,30,264.23
1968,OCT,1,303.42
1968,NOV,16,180.0
1968,DEC,31,68.14
1969,JAN,31,42.98
1969,FEB,28,28.58
1969,MAR,25,22.0
1969,APR,8,22.0
1969,MAY,8,52.1
1969,JUN,22,116.0
1969,JUL,21,87.0
1969,AUG,2,116.0
1969,SEP,14,146.0
1969,OCT,29,307.0
1969,NOV,4,249.0
1969,DEC,30,109.0
1970,JAN,5,63.5
1970,FEB,28,45.3
1970,MAR,22,34.1
1970,APR,5,47.7
1970,MAY,1,84.6
1970,JUN,9,147.0
1970,JUL,7,191.0
1970,AUG,14,204.0
1970,SEP,12,354.0
1970,OCT,19,343.0
1970,NOV,29,169.0
1970,DEC,31,107.0
1971,JAN,31,63.2
1971,FEB,21,42.0
1971,MAR,13,35.8
1971,APR,13,43.5
1971,MAY,1,68.3
1971,JUN,27,159.0
1971,JUL,27,115.0
1971,AUG,1,161.0
1971,SEP,1,261.0
1971,OCT,6,340.0
1971,NOV,30,139.0
1971,DEC,31,56.2
1972,JAN,31,49.2
1972,FEB,29,27.5
1972,MAR,27,23.4
1972,APR,4,22.0
1972,MAY,7,77.0
1972,JUN,30,103.0
1972,JUL,18,64.3
1972,AUG,8,56.7
1972,SEP,13,120.0
1972,OCT,30,180.0
1972,NOV,30,105.0
1972,DEC,16,60.0
1973,JAN,31,39.2
1973,FEB,27,26.5
1973,MAR,28,20.6
1973,APR,5,19.3
1973,MAY,4,35.8
1973,JUN,10,151.0
1973,JUL,14,114.0
1973,AUG,15,128.0
1973,SEP,23,252.0
1973,OCT,1,288.0
1973,NOV,14,133.0
1973,DEC,28,72.2
1974,JAN,28,50.0
1974,FEB,25,29.8
1974,MAR,22,28.9
1974,APR,20,27.6
1974,MAY,2,43.6
1974,JUN,8,156.0
1974,JUL,10,129.0
1974,AUG,9,121.0
1974,SEP,7,237.0
1974,OCT,16,340.0
1974,NOV,30,127.0
1974,DEC,12,17.8
1975,JAN,29,34.1
1975,FEB,24,25.9
1975,MAR,27,23.2
1975,APR,24,18.9
1975,MAY,1,35.3
1975,JUN,14,131.0
1975,JUL,1,144.0
1975,AUG,13,151.0
1975,SEP,18,320.0
1975,OCT,11,386.0
1975,NOV,29,241.0
1975,DEC,30,81.0
1976,JAN,6,6.8
1976,FEB,29,26.3
1976,MAR,23,20.5
1976,APR,6,18.6
1976,JUN,16,106.0
1976,JUL,31,59.9
1976,AUG,20,55.1
1976,SEP,13,69.4
1976,OCT,29,190.0
1976,NOV,28,119.0
1976,DEC,31,39.5
1977,JAN,31,25.3
1977,FEB,28,18.8
1977,MAR,29,14.2
1977,APR,25,13.1
1977,MAY,6,21.5
1977,JUN,28,57.2
1977,JUL,30,27.4
1977,AUG,30,11.0
1977,SEP,10,68.2
1977,OCT,9,161.0
1977,NOV,30,149.0
1977,DEC,31,61.8
1978,JAN,31,31.3
1978,FEB,28,23.3
1978,MAR,21,18.4
1978,APR,7,29.0
1978,MAY,15,77.8
1978,JUN,22,85.3
1978,JUL,1,120.0
1978,AUG,24,87.9
1978,SEP,1,154.0
1978,OCT,10,234.0
1978,NOV,30,101.0
1978,DEC,31,51.4
1979,JAN,31,29.7
1979,FEB,21,24.1
1979,MAR,31,19.7
1979,APR,1,19.7
1980,MAY,4,25.4
1980,JUN,7,103.0
1980,JUL,5,72.2
1980,AUG,5,130.0
1980,SEP,6,115.0
1980,OCT,28,142.0
1980,NOV,1,220.0
1980,DEC,26,95.6
1981,JAN,30,50.0
1981,FEB,21,27.4
1981,MAR,31,24.2
1981,APR,10,21.5
1981,MAY,22,139.0
1981,JUN,24,224.0
1981,JUL,31,127.0
1981,AUG,2,116.0
1981,SEP,23,166.0
1981,OCT,6,211.0
1981,NOV,23,153.0
1981,DEC,29,65.1
1982,JAN,30,43.6
1982,FEB,25,32.6
1982,MAR,30,29.6
1982,APR,3,26.8
1982,MAY,3,30.1
1982,JUN,29,96.0
1982,JUL,27,74.5
1982,AUG,16,70.5
1982,SEP,4,168.0
1982,OCT,29,334.0
1982,NOV,28,153.0
1982,DEC,28,79.5
1983,JAN,30,48.3
1983,FEB,10,40.9
1983,MAR,31,34.1
1983,APR,21,27.7
1983,MAY,3,30.1
1983,JUN,29,96.0
1983,JUL,27,74.5
1983,AUG,16,70.5
1983,SEP,4,108.0
1983,OCT,29,334.0
1983,NOV,28,153.0
1983,DEC,28,79.5
1984,JAN,30,48.3
1984,FEB,10,40.9
1984,MAR,31,34.1
1984,APR,21,27.7
1984,MAY,3,77.0
1984,JUN,20,114.0
1984,JUL,27,112.0
1984,AUG,9,106.0
1984,SEP,7,190.0
1984,OCT,1,224.0
1984,NOV,30,180.0
1984,DEC,29,62.8
1985,JAN,31,38.6
1985,FEB,28,26.2
1985,MAR,31,22.3
1985,APR,13,20.7
1985,MAY,6,53.9
1985,JUN,30,96.0
1985,JUL,8,67.4
1985,AUG,13,99.2
1985,SEP,2,238.0
1985,OCT,1,241.0
1985,NOV,27,135.0
1985,DEC,31,70.2
1986,JAN,28,40.9
1986,FEB,23,31.9
1986,MAR,27,24.4
1986,APR,7,29.3
1986,MAY,2,32.3
1986,JUN,20,109.0
1986,JUL,31,75.0
1986,AUG,9,64.3
1986,SEP,9,133.0
1986,OCT,31,298.0
1986,NOV,26,106.0
1986,DEC,30,45.7
1987,JAN,31,28.2
1987,FEB,28,20.0
1987,MAR,31,18.9
1987,APR,1,18.9
1987,MAY,13,57.6
1987,JUN,2,85.6
1987,JUL,6,96.6
1987,AUG,21,154.0
1987,SEP,17,139.0
1987,OCT,17,205.0
1987,NOV,24,101.0
1987,DEC,30,65.4
1988,JAN,27,35.0
1988,FEB,25,24.3
1988,MAR,4,21.5
1988,APR,10,18.2
1988,MAY,10,34.1
1988,JUN,4,78.4
1988,JUL,28,102.0
1988,AUG,5,246.0
1988,SEP,6,396.0
1988,OCT,17,436.0
1988,NOV,29,163.0
1988,DEC,24,71.2
1989,JAN,31,44.6
1989,FEB,27,35.5
1989,MAR,31,30.2
1989,APR,21,25.9
1989,MAY,1,56.1
1989,JUN,4,80.0
1989,JUL,16,76.9
1989,AUG,5,121.0
1989,SEP,3,217.0
1989,OCT,31,169.0
1989,NOV,21,124.0
1989,DEC,31,64.9
1990,JAN,31,38.5
1990,FEB,26,27.2
1990,MAR,13,23.6
1990,APR,12,28.1
1990,MAY,13,67.9
1990,JUN,22,117.0
1990,JUL,27,115.0
1990,AUG,11,96.6
1990,SEP,7,119.0
1990,OCT,1,194.0
1990,NOV,27,149.0
1990,DEC,3,58.1
1991,JAN,12,54.0
1991,FEB,26,27.2
1991,MAR,31,15.1
1991,APR,2,14.4
1991,MAY,4,80.4
1991,JUN,11,79.4
1991,JUL,16,75.1
1991,AUG,28,64.9
1991,SEP,10,100.0
1991,OCT,25,160.0
1991,NOV,11,2.0
1991,DEC,31,45.0
1992,JAN,30,28.1
1992,FEB,29,17.9
1992,MAR,31,11.2
1992,APR,11,6.9
1992,MAY,14,18.7
1992,JUN,2,80.9
1992,JUL,26,73.8
1992,AUG,25,63.7
1992,SEP,6,105.0
1992,OCT,18,168.0
1992,NOV,20,107.0
1992,DEC,31,58.0
1993,JAN,27,31.0
1993,FEB,25,12.8
1993,MAR,15,15.0
1993,APR,4,27.2
